title,url
Bắc Bling - Hòa Minzy,https://youtu.be/CL13X-8o4h0?si=A0QOVxMuE_-YNGL6
Đi Giữa Trời Rực Rỡ - Ngô Lan Hương,https://youtu.be/pjm2aXT3A2M?si=U8-nl94RhnFtDv6F
Thanh Xuân - Da LAB,https://youtu.be/GgQFO8dL5XQ?si=dkfWOIEQhKTZ5RQ4
Bài Này Chill Phết - Đen ft. MIN,https://youtu.be/ddaEtFOsFeM?si=MpTaLObMdZ4izkjz
Lối Nhỏ - Đen ft. Phương Anh Đào,https://youtu.be/KKc_RMln5UY?si=w1amhEULkwiVeEvY
Cứ Chill Thôi - Chillies x Suni Hạ Linh x Rhymastic,https://youtu.be/LZN4I3K8SC0?si=8sxoYHoGCbJnXReJ
Đi Để Trở Về - Soobin Hoàng Sơn,https://www.youtube.com/watch?v=vTJdVE_gjI0
Đưa Nhau Đi Trốn - Đen ft. Linh Cáo,https://youtu.be/5e7e_KZINA4?si=mEAUHJe3E_UwU7RD
Việt Nam Những Chuyến Đi - Vicky Nhung,https://youtu.be/46EjkkDo00g?si=NYFrzGG9axGajlZX
Gác Lại Âu Lo - Da LAB x Miu Lê,https://youtu.be/ECxVfrwwTp0?si=0yYUTQbnbNxguI9r
Đi Về Nhà - Đen x JustaTee,https://youtu.be/vTJdVE_gjI0?si=UaHoLXr0FH59sf5d
Vì Tôi Còn Sống - Tiên Tiên,https://youtu.be/Of-UkRiRWeo?si=6pBRcS0NK9dTO07_
Cùng Anh - Ngọc Dolil ft. Hagi x STee,https://youtu.be/qUlW2c6eIvk?si=pc1d2DLDp8-8ljT2
Cho Em Vào Ba Lô - Tâm Trần,https://www.youtube.com/watch?v=V4p1X7n3K2Y
Có Hẹn Với Thanh Xuân - MONSTAR,https://youtu.be/FW5aNm9cx9A?si=8JBdIOUMo5E_17NE
Tuổi Trẻ - Da LAB,https://youtu.be/ghUh0NPHXy8?si=ZI0RVIsSUTZ0IWts
Những Chuyến Đi Dài - Bức Tường,https://youtu.be/4RgCllKvJuc?si=vTvInL7qUgTgkWbc
Nơi Ấy - Hà Okio,https://youtu.be/b8Hv6pjjfuE?si=iBOC_nmluVenTpwg
Đời Là Đi - Da LAB,https://youtu.be/5i8bezxh-eQ?si=3rPHlQgD4hV9xamy